"Reference","Value","Footprint","Datasheet","LCSC #","LCSC Link","Qty"
"C101, C107","1u","unORTHOdox:C_0603_1608Metric","https://datasheet.lcsc.com/lcsc/1810261812_Samsung-Electro-Mechanics-CL10A105KB8NNNC_C15849.pdf","C15849","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC---SMD-SMT_Samsung-Electro-Mechanics-Samsung-Electro-Mechanics-CL10A105KB8NNNC_C15849.html","2"
"C102-C106","100n","unORTHOdox:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf","C1525","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC---SMD-SMT_Samsung-Electro-Mechanics-Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.html","5"
"C108, C109","12p","unORTHOdox:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1811141710_FH--Guangdong-Fenghua-Advanced-Tech-0402CG120J500NT_C1547.pdf","C1547","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC---SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-FH-Guangdong-Fenghua-Advanced-Tech-0402CG120J500NT_C1547.html","2"
"D101-D166","D","unORTHOdox:D_SOD-123F","https://datasheet.lcsc.com/lcsc/1809301215_MDD-Microdiode-Electronics--SM4007PL_C64898.pdf","C64898","https://www.lcsc.com/product-detail/Diodes---General-Purpose_MDD（Microdiode-Electronics）-MDD（Microdiode-Electronics）-SM4007PL_C64898.html","66"
"F101","500mA","unORTHOdox:Fuse_0603_1608Metric","https://datasheet.lcsc.com/lcsc/1912111437_Jinrui-Electronic-Materials-Co--JK-NSMD050-13-2V_C369159.pdf","C369159","https://www.lcsc.com/product-detail/Resettable-Fuses_Jinrui-Electronic-Materials-Co.-Jinrui-Electronic-Materials-Co.-JK-NSMD050-13.2V_C369159.html","1"
"H101, H102","MountingHole","PCM_Mounting_Keyboard_Stabilizer:Stabilizer_Cherry_MX_3.00u","~","","","2"
"I2C_101, I2C_102","AudioJack4","unORTHOdox:Jack_3.5mm_TIC54-00177_Horizontal","https://datasheet.lcsc.com/lcsc/2110151730_XKB-Connectivity-PJ-342B-TX-SMT_C388632.pdf","C388632","https://www.lcsc.com/product-detail/Audio-Connectors_XKB-Connectivity-XKB-Connectivity-PJ-342B-TX-SMT_C388632.html","2"
"J101","AVR-ISP-6","Stamp_Attach:Stamp-Attach_SA2030-IDC-NL_2x03_P1.27mm_Vertical"," ~","","","1"
"J102","USB_C_Receptacle_USB2.0","unORTHOdox:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://datasheet.lcsc.com/lcsc/2205251630_Korean-Hroparts-Elec-TYPE-C-31-M-12_C165948.pdf","C165948","https://www.lcsc.com/product-detail/USB-Connectors_Korean-Hroparts-Elec-Korean-Hroparts-Elec-TYPE-C-31-M-12_C165948.html","1"
"R101, R102","5K1","unORTHOdox:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0402WGF5101TCE_C25905.pdf","C25905","https://www.lcsc.com/product-detail/Chip-Resistor---Surface-Mount_UNI-ROYALUniroyal-Elec-UNI-ROYALUniroyal-Elec-0402WGF5101TCE_C25905.html","2"
